China Minmetals,discussing investments with Chinese government to booster stakes in Russian energy and commodity companies,Materials,China
China Mobile,business as usual,Communication Services,China
China National Petroleum Corporation,business as usual,Energy,China
China Railway Construction Corporation,continues to build Vladivostok highway in March 2022,Industrials,China
China Railway Engineering Corporation,business as usual,Industrials,China
China State Construction Engineering,contractor to the Russian state,Industrials,China
China State Railway Group Company,increasing coal shipments from Russia,Industrials,China
China United Network Communications,a subsidiary in Russia: China Unicom (Russia) Operations Limited Liability Company; business as usual,Communication Services,China
Chipita,Not disclosed publicly; still operating in Russia,Consumer Staples,Greece
Clarins,still selling online in Russia,Consumer Discretionary,France
CLINTON,still operating in Russia (Camp David),Consumer Discretionary,Germany
Cloudflare,continue sales & services in Russia,Information Technology,United States
Coal India,expecting highest import level in 2 years,Energy,India
Cofix Coffee,maintains locations in Russia,Consumer Staples,Israel
Colin's,still selling online,Consumer Discretionary,Turkey
Corendon Airlines,still flying to Russia,Industrials,Turkey
Covestro,still operating in Russia,Materials,Germany
Cremonini Group,continue sales in Russia,Consumer Staples,Italy
De Cecco,continue sales and operations in Russia,Consumer Staples,Italy
Deep in Russia,still offering trips to Russia,Industrials,Belgium
Dessange International,still operating salons in Russia,Consumer Discretionary,France
Didi,explicitly reversed decision to exit Russia,Industrials,China
Diesel,still operating in Russia; not disclosed,Consumer Discretionary,Italy
Doka,still manufacturing in Russia; not disclosed,Industrials,Austria
Dr Reddys Labs,business as usual; plans new brands in Russia,Health Care,India
Duol,still operating in Russia,Consumer Discretionary,Slovenia
Egger,still operating in Russia,Industrials,Austria
Egyptair,still flying to Russia,Industrials,Egypt
ELA Container,still selling in Russia,Industrials,Germany
ElvalHalcor,Not disclosed publicly,Materials,Greece
Emirates Airlines,still flying to Russia,Industrials,United Arab Emirates
EMS-Chemie,still operating in Russia,Materials,Switzerland
Etam,still selling to Russia,Consumer Discretionary,France
Etihad Airways,still flying to Russia,Industrials,United Arab Emirates
Eutelsat,provide satellite TV services to Russia,Communication Services,France
Faurecia,still operating and advertising in Russia,Consumer Discretionary,France
FAW Group,remains silent on whether they will continue operations,Industrials,China
Fenzi Group,still operating in Russia,Industrials,Italy
Fischer Sports,still selling online,Consumer Discretionary,Austria
Fleetcor,business as usual,Financials,United States
Fluidra,continuing sales in Russia,Industrials,Spain
Fondital,still operating and investing in Russia,Industrials,Italy
Foraco,still operating in Russia,Energy,France
Forever Living Products,still operating in Russia,Consumer Discretionary,United States
Freedom Holding,still operating in Russia,Financials,Kazakhstan
Fresenius,still operating in Russia,Health Care,Germany
Frigoglass,still operating in Russia,Industrials,Greece
Fujifilm,still operating and advertising in Russia,Information Technology,Japan
Gedeon Richter,still operating in Russia,Health Care,Hungary
Geoplin,still purchasing Russian gas from Gazprom,Energy,Slovenia
Giorgio Armani,still operating in Russia,Consumer Discretionary,Italy
Global Fashion Group,still operating in Russia,Consumer Discretionary,Luxembourg
Globus,still operating in Russia,Consumer Staples,Germany
Gorenje,still operating in Russia,Consumer Discretionary,Slovenia
Groupe Le Duff,still operating in Russia,Consumer Discretionary,France
Groupe Savencia,still operates in Russia,Consumer Staples,France
Grupo Borges | ITLV,still operating in Russia,Consumer Staples,Spain
Grupo Fuertes,still operating in Russia,Consumer Staples,Spain
Haier,planning expansion in Russia,Consumer Discretionary,China
Hampidjan,still operating in Russia,Industrials,Iceland
Hard Rock Café,still operating in Russia,Consumer Staples,United States
Heliski Russia,cooperating with sanctioned individuals,Industrials,France
Hengli Group,business as usual,Energy,China
Heraeus,still operating in Russia,Industrials,Germany
Herend,still operating in Russia,Consumer Discretionary,Hungary
Hindalco,business as usual,Materials,India
Hoffmann Group,still operating and advertising in Russia,Industrials,Germany
Honor,business as usual,Information Technology,China
Huntsman Corporation,still operating in Russia,Materials,United States
Ideal Molde,still selling to Russia,Industrials,Portugal
Indian Oil Corporation,signed new deal to import Russian oil,Energy,India
Industrial Bank (China),"offices operating in Moscow, did not answer for Reuters' calls for commenting on that",Financials,China
International Baccalaureate Organization,still offers professional development services to Russian teachers,NGO,Netherlands
International Paper,still operating in Russia,Materials,United States
IQVIA,still operating and actively hiring,Industrials,United States
Itochu,continues oil & gas exploration partnerships,Consumer Staples,Japan
JD.com,business as usual - the Russian store is still fully operational,Industrials,China
JDE Peet's,still operating in Russia,Consumer Staples,Netherlands
Jean Cacharel,still selling and advertising in Russia,Consumer Discretionary,France
JSW Steel,business as usual,Materials,India
Kemin,still operating in Russia; declined to commend,Health Care,United States
Kidzania,Operating facility in Russia,Communication Services,Mexico
KION Group,still operating in Russia; not disclosed publicly,Industrials,Germany
Kleemann,Not disclosed publicly,Industrials,Greece
Knarr Maritime,members still operating in Russia,Industrials,Iceland
Koch Industries,considering options for an exit; continuing operations,Industrials,United States
Kotanyi,still exporting to Russia,Consumer Staples,Austria
Koton,still advertising and selling to Russia,Consumer Discretionary,Turkey
Krka,still operating in Russia,Health Care,Slovenia
Kronospan,still operating in Russia,Materials,Austria
Kweichow Moutai,business as usual,Consumer Staples,China
La Redoute,still selling products to Russia,Consumer Discretionary,France
Lacoste,still operating in Russia,Consumer Discretionary,France
LACTALIS,still operating in Russia,Consumer Staples,France
Larsen & Toubro,business as usual,Real Estate,India
Legrand,still operating in Russia,Industrials,France
Lemken,still operating and advertising in Russia,Industrials,Germany
Leptos Estates,continues operations in Russia,Real Estate,Cyprus
Leroy Merlin,still operating in Russia,Consumer Discretionary,France
Letique Cosmetics,maintains stores in Russia,Consumer Staples,Latvia
Liebherr,No action taken; still operating in Russia,Industrials,Switzerland
LiSEC,still operating in Russia,Industrials,Austria
Luka Koper,continuing trans shipments,Industrials,Slovenia
Mahindra & Mahindra,business as usual,Consumer Discretionary,India
Mahle,still operating in Russia,Industrials,Germany
Makita,still working with dealers in Russia,Industrials,Japan
Makrochem SA,still operating in Russia,Industrials,Poland
Match Group,continue to operate in Russia including Tinder,Communication Services,United States
Maxam,still operating in Russia,Materials,Spain
Medtronic,continue operating subsidiary in Russia,Health Care,United States
Micro-Star International Co. (MSi),still operating in Russia,Information Technology,Taiwan
Mitsubishi Heavy Industries,still operating in Russia,Industrials,Japan
Mitsui,continuing operations within sanctions compliance & shares in Sakhalin-2 project,Materials,Japan
Mizuho Financial Group,still operating in Russia,Financials,Japan
Mod's Hair,still operates in Russia,Consumer Discretionary,France
MOLGroup,still operating in Russia,Energy,Hungary
MSU S.A.,still operating in Russia,Consumer Discretionary,Poland
New Yorker Marketing & Media GmbH,continue to operate and open new stores,Industrials,Germany
Nippon Telegraph and Telephone Corporation,continues to operate cloud services in Russia,Communication Services,Japan
NIS Serbia,partnership with Gazprom Neft; Gazprom has a 50% stake in NIS,Energy,Serbia
Oasis Logistics Corp,“We are actively exploring opportunities to work with our Russian partners”,Industrials,China
OBO Bettermann,still operating in Russia,Industrials,Germany
OCSiAl,still running research center and branch,Information Technology,Luxembourg
OKI,still operating in Russia; not disclosed,Information Technology,Japan
ONGC,aggressive selling of Russian Sokoil to other Indian Nationalised Energy corps,Energy,India
Oppo,business as usual,Information Technology,China
Orano,still operating in Russia,Energy,France
Paccar,still active in Russia; deny comments,Industrials,United States
Patreon,still providing services to Russia,Financials,United States
Pegasus,still flying to Russia,Industrials,Turkey
Perfetti Van Melle,still operating in Russia; not disclosed publicly,Consumer Staples,Italy
Philips,online sales still available in Russia,Consumer Discretionary,Netherlands
Pidilite Ind,business as usual,Materials,India
Plastika Kritis,Not disclosed publicly,Materials,Greece
Poly Real Estate,"a sister company is Poly Technologies, one of China's largest arms exporters and has been sanctioned by the United States; in Russian tax registry",Real Estate,China
Posco,operating through a Russian subsidiary,Materials,South Korea
PowerChina,"cooperating with a Russian bank ""Solidarnost"" on off-shore projectes",Energy,China
Projahn,still operating in Russia through a subsidiary,Industrials,Germany
Provalliance Group (Jean Louis David),affiliates still operating in Russia,Consumer Discretionary,France
Qatar Airways,still flying to Russia,Industrials,Qatar
Quicksilver,online sales still running,Consumer Discretionary,United States
Raba,maintain commerical ties with Russian Kamaz,Industrials,Hungary
Rabe Moden,still advertising and selling to Russia via Telegram,Consumer Discretionary,Germany
Raiffeisen Bank International,still operating in Russia,Financials,Austria
Remondis,still operating in Russia; not disclosed publicly,Industrials,Germany
Riko,still operating in Russa,Industrials,Slovenia
Riot Games,still operating in and selling to Russia,Consumer Discretionary,United States
Royal Swinkels Family Brewers,still providing Russia with a license to brew products; intention to terminate the license,Consumer Staples,Netherlands
Russia Fachspedition Dr. Lassmann,still operating in Russia,Industrials,Austria
SAIC Motor,remains operational; plans to increase export,Industrials,China
Sanatmetal,still operating in Russia,Health Care,Hungary
Sany Heavy Industries,business as usual,Industrials,China
Sarantis,still operating in Russia,Consumer Staples,Greece
Sbarro Pizza,still operating in Russia and allowing placing online orders,Consumer Discretionary,United States
Schoeller Bleckmann,still operating in Russia,Industrials,Austria
Semiconductor Manufacturing International Corporation,defies US sanctions by continuting to export to Russia,Information Technology,China
SGS,still operating and actively advertising in Russia,Industrials,Switzerland
Shanghai Fosun Pharmaceutical,business as usual,Health Care,China
Siemens Healthineers,continue to support healthcare providers,Health Care,Germany
Signet Armorite,operating in Russia through a subsidiary,Consumer Discretionary,United States
Sika,still operating in Russia,Industrials,Switzerland
Sisecam,still operating in Russia through subsidiaries,Materials,Turkey
SMC,still operating in Russia,Industrials,Japan
Société Bic,still operating and actively hiring in Russia,Consumer Discretionary,France
Stada Arzneimittel,still operating in Russia,Health Care,Germany
State Grid Corporation of China,business as usual,Utilities,China
Storck,continue candy sales in Russia,Consumer Staples,Germany
Stryker,continue sales and imports to Russia,Health Care,United States
Sun Pharma,business as usual,Health Care,India
SWISS KRONO,still operating plant in Russia,Industrials,Switzerland
Syngenta,still operating in Russia,Health Care,China
Sæplast,not publically disclosed,Materials,Iceland
Talgo,still operating in Russia,Industrials,Spain
Tencent,major investment in VK,Communication Services,China
Tenneco,still operating in Russia; deny comments,Consumer Discretionary,United States
TEPCO,continues purchases of Russian gas,Utilities,Japan
Teva,no action taken; still operating Russia,Health Care,Israel
TGI Friday's,still operating in Russia,Consumer Discretionary,United States
The China Coal Transportation and Distribution Association,big power plants and about 20 Russian coal companies discussed plans to increase bilateral trade,Energy,China
Titan International,still operating in Russia,Industrials,United States
Tom Ford,still operating in Russia; not disclosed publicly,Consumer Discretionary,United States
Tupperware,still operating and actively hiring in Russia,Consumer Discretionary,United States
Turkish Airlines,still flying to Russia,Industrials,Turkey
UniCredit,Still operating in Russia,Financials,Italy
Uzbekistan Airways,still flying to Russia,Industrials,Uzbekistan
Valeo,still operating in Russia,Consumer Discretionary,France
Valve,still providing services to Russia,Consumer Discretionary,United States
Vanke,business as usual,Real Estate,China
Veolia,still operating in Russia,Utilities,France
Vinci SA,still operating in Russia,Industrials,France
Vivo,still operating in Russia,Industrials,China
Wanhua Chemical Group,still operating in Russia,Materials,China
Wienerberger,still operating in Russia,Industrials,Austria
WIKA,still operating in Russia,Industrials,Germany
Wolffkran,still operating in Russia,Industrials,Switzerland
Xibao Metallurgy Materials Group,"building a refractory material plant in Lipetsk, Russia",Industrials,China
Yazaki,operating in Russia through a subsidiary,Consumer Discretionary,Japan
Yokogawa,still operating in Russia; not disclosed publicly,Information Technology,Japan
Zepter,still advertising and selling to Russia,Consumer Discretionary,Switzerland
Zimmer Biomet,continues sales in Russia,Health Care,United States
ZTE,business as usual,Information Technology,China
Zwack,Not disclosed publicly,Consumer Staples,Hungary
Buying Time,,,
Holding Off New Investments/Development (160 Companies) (Grade: D),,,
Companies postponing future planned investment/development/marketing while continuing substantive business...,,,
Name,Action,Industry,Country
Aalberts,"continue operations on an unspecified ""lower"" level & postpone investments",Industrials,Netherlands
Abbott Laboratories,suspend non-essential business activity,Health Care,United States
Abbvie,"suspend aesthetics operations, pause new clinical trials",Health Care,United States
Accor,suspend new investments/development,Consumer Discretionary,France
Accumalux,"still operating plant in Togliatti, Russia",Consumer Discretionary,Luxembourg
Aegon,ending new investments where has control over fund,Financials,Netherlands
Air Liquide,"Some clients no longer supplied, others scaled down; all Russian investments on hold",Materials,France
Airbus,"suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia",Industrials,Netherlands
Akrapovič,still operating in Russia,Consumer Discretionary,Slovenia
Alcon,suspend new investments and new clinical trial enrollment in Russia,Health Care,Switzerland
AmerisourceBergen,"cease new business initiatives but continue existing clinical trials, and distributing health products",Health Care,United States
Andbank,investigate if Russian customers are subject to European sanctions,Financials,Andorra
Andritz,suspend unspecified new business in Russia for time being,Industrials,Austria
Anecoop,diverting sales away from Russia,Consumer Staples,Spain
Archer Daniels Midland (ADM),unspecified scaling down of non-essential operations,Consumer Staples,United States
Arconic,pause new contracts but continue existing,Materials,United States
AstraZeneca,halt new investments/new clinical trials,Health Care,United Kingdom
Aurubis AG,monitor situation and review structures of Russian business partners,Industrials,Germany
Aviva,suspend new Russian investments,Financials,United Kingdom
Bang & Bonsomer,suspend new investments but still operating in Russia,Materials,Finland
Barilla,all new investments and advertising activities on hold; limit Russia production to pasta and bread,Consumer Staples,Italy
Barry Callebaut,suspend capital investment,Consumer Staples,Switzerland
Bayer,stopping unspecified non-essential business activity,Health Care,Germany
Binance,"restrict Russian accounts with over €10,000",Financials,China
BlaBlaCar,Stopped new investment but stays in Russia,Information Technology,France
Boiron,suspend new investments & stop clinical trials,Health Care,France
Bolt,remove all Russia-manufactured and Russian-branded goods,Information Technology,Estonia
Bristol-Myers Squibb,pause new trials & stop enrollment of new participants; still actively hiring in Russia,Health Care,United States
Calfrac Well Services,suspension of new investments in Russia,Energy,Canada
Campari,continue sales in Russia but suspend new investments,Consumer Staples,Italy
"CAPRI Holdings (Versace, Michael Kors, Jimmy Cho)",online orders unavailable but still advertising; no information about on-site sales,Consumer Discretionary,United States
Cargill,unspecified scaling down of non-essential operations,Consumer Staples,United States
Carmim,suspend some orders in backlog,Consumer Staples,Portugal
Citadele Banka,still allows transactions to Russia but introduced more thorough checks,Financials,Latvia
Colgate-Palmolive,continue essential health and hygiene products,Consumer Staples,United States
Corticeira Amorim,commerical activity suspended,Materials,Portugal
Crèdit Andorrà,investigate if Russian customers are subject to European sanctions,Financials,Andorra
Danone,suspend all investment projects but continue dairy products; suspend imports of Evian and Alpro products,Consumer Staples,France
Deceuninck,stop investments & cut links with other establishments,Industrials,Belgium
Delonghi,paused new shipments and investments,Consumer Discretionary,Italy
DMK Group,suspend new investments/advertising but continue sales and plant operations in Russia,Consumer Staples,Germany
Domino's Pizza,suspend royalty payments & limit investment – restaurants remain open,Consumer Discretionary,United States
dōTERRA,suspend new investment in Russia,Consumer Staples,United States
Dr. Theiss,suspend advertisement,Health Care,Germany
Ecco,suspend new investments still operating in Russia,Consumer Discretionary,Denmark
Eesti Gaas,continues to import Russian gas but is looking for alternatives,Energy,Estonia
Ehrmann,continue sales in Russia but suspend new investments,Consumer Staples,Germany
Ekosem Agrar AG,restructuring finances,Consumer Staples,Germany
Eli Lilly,suspend new investments and clinical trials,Health Care,United States
Engie,no new investments,Utilities,France
ESL,ban people with ties to Russian government,NGO,Germany
FL Smidth,no new business,Industrials,Denmark
FM Global,stopped renewing and underwriting new reinsurance,Financials,United States
Focus Brands - Cinnabon,no new investments and expansion plans on hold,Industrials,United States
Freelancer,still operating in Russia; sanctioned payment menthods disabled,Information Technology,Australia
Freudenberg Group,cease trading operations with Russia & Belarus; running plants in Russia,Industrials,Germany
GEA Group,suspend new investments,Industrials,Germany
Geox,suspend new investments,Consumer Discretionary,Italy
GlaxoSmithKline,stopped advertising/new clinical trials in Russia,Health Care,United Kingdom
Glencore,stop entering into new Russian commodities trading contracts but continue holding substantive Russian equity stakes,Materials,Switzerland
Greif,canceled future investments in Russia,Materials,United States
GROUPE LIMAGRAIN/JACQUET-BROSSARD,continues flows to Russian and Ukrainian producers but suspends its project to build a seed factory in Russia,Industrials,France
Groupe Seb,"suspend new investments and ""sharply"" reduce activities in Russia",Consumer Discretionary,France
Gruma,halt new investments in Russia,Consumer Staples,Mexico
GXO Logistics,suspend new investments,Industrials,United States
HeidelbergCement,suspend all further investments,Materials,Germany
Hellenic Bank,maintain rep offices in Russia; observe all banking sactions,Financials,Cyprus
Hellenic Petroleum,seeks new oil supplier to replace Russian oil,Energy,Greece
HERZ,no new business in Russia,Consumer Discretionary,Austria
Hilton,suspend new investments/close corporate office,Consumer Discretionary,United States
Hines,suspend new investments in Russia,Industrials,United States
HiPP,suspend investments in Russia but continue substantive operations,Consumer Staples,Switzerland
Hochland,suspend investments but continues sales and plant operations in Russia,Consumer Staples,Germany
HSBC,curtail Russian access to capital markets and limit new business,Financials,United Kingdom
Huawei,suspend new orders and furlough some staff,Information Technology,China
Hyatt,suspend investments and new developments,Consumer Discretionary,United States
Icosagen,not start any new projects,Industrials,Estonia
ID Logistics,suspend new investment in Russia,Industrials,France
ING Bank,pause all new business,Financials,Netherlands
Ingram Micro,no new business in Russia,Information Technology,United States
Intercontinental Hotels,ended new investments/closed corporate office,Consumer Discretionary,United Kingdom
Intermedia,move some employees out of Russia and ambiguous reduction of risk exposure to Russia,Communication Services,United States
Intesa Sanpaolo,suspend new investments and curtail new financing,Financials,Italy
J. Neves & Fihos (JNF),paused distribution,Industrials,Portugal
Japan Tobacco,stopped new investments and marketing activities in Russia,Consumer Staples,Japan
Johnson & Johnson,pause patient enrollment in ongoing trials,Health Care,United States
KCA Deutag,suspend investments,Energy,United Kingdom
KDDI Corp,continue operations with local staff,Communication Services,Japan
Kimberly-Clark,suspend new investments in Russia,Consumer Staples,United States
Knauf,still operating across 14 sites in Russia but suspend new investments,Materials,Germany
Kraft Heinz - JBS,stopped new investments and exports/imports from Russia,Consumer Staples,United States
Kubíček VHS,stop cooperation,Industrials,Czech Republic
Laboratoire Servier,suspending new investments but still operating in Russia,Health Care,France
Lenovo,reported to suspend operations in Russia,Information Technology,Hong Kong
Loulis Mills,search for alternative suppliers,Consumer Staples,Greece
Maire Tecnimonet,suspended commercial activities; managing existing backlog,Industrials,Italy
Manitowoc,"stopped taking new orders, still maintaining office in Russia",Industrials,United States
Marel,paused new projects,Consumer Staples,Iceland
Mavenir,continue operating in Russia but very limited curtailment of some activities,Information Technology,United States
Melamin,making up for shortfall from sanctions,Materials,Slovenia
Menarini Group,stop advertisement and new investments; continue operating plant in Russia,Health Care,Italy
Merck,no further investments/clinical trial enrollment,Health Care,United States
Merck,still operating and actively hiring in Russia; restrict transactions,Health Care,Germany
Metro,stop all growth investments and reduce advertisements,Consumer Staples,Germany
Mocapor,paused exports,Industrials,Portugal
Mohawk Industries,suspend new investments in Russia,Consumer Discretionary,United States
Mondelez - Nabisco,scaling back unspecified non-essential activities in Russia,Consumer Staples,United States
National Oilwell Varco,suspend all new investments in Russia,Energy,United States
Nature's Sunshine,suspend shipments into Russia but not sales,Consumer Staples,United States
Naust Marine,stopped projects in Russia,Industrials,Iceland
Nestle,"halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment",Consumer Staples,Switzerland
Nippon Steel,searching to replace Russian supplies,Materials,Japan
Nor-Maali,stop further investments,Industrials,Finland
Novartis,"pause all new capital investments, media advertising and other promotions; pause new clinical trials and enrollment of new patients",Health Care,Switzerland
Novo Nordisk,suspend further marketing and clinical investment; pause new clinical trials and active enrollment,Health Care,Denmark
NTPC,difficulty in transacting with Russian counterparties due to SWIFT issues etc,Utilities,India
Olam Group,ceased imports into Russia,Consumer Staples,Singapore
OMV,no new Russian investments; doing strategic review of current Russian gas investments,Energy,Austria
Palfinger,reduced production,Industrials,Austria
Pfizer,stopped new investments/clinical trials in Russia,Health Care,United States
Polpharma,stop all new investments and limit deliveries to essential drugs only,Health Care,Poland
Pottinger,limited deliveries to Russia sales subsidiary,Industrials,Austria
Procter & Gamble,scale back unspecified operations in Russia and stop new investments,Consumer Staples,United States
Red Bull,suspend new investments,Consumer Staples,Austria
RHI Magnesita,selling down existing stocks in Russia,Industrials,Austria
Ritter Sport,halt new investments and advertising,Consumer Staples,Germany
Roche,pause new site activation and patient enrollment; continue operating,Health Care,Switzerland
Rockwool,cancel new investments in Russia,Industrials,Denmark
Saipem,halt new investments,Industrials,Italy
Sanofi,"halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients",Health Care,France
Sarens,new projects cancelled,Industrials,Belgium
SC Johnson,stopped new investments and scaled back unspecified operations,Consumer Staples,United States
Schlumberger,stopped new investment and technology deployment to our Russia operations,Energy,United States
SCHOTT,suspend investments in Russia,Materials,Germany
Siemens Energy AG (Independent),freeze new business in Russia,Industrials,Germany
Sigma Group,Stop cooperation,Industrials,Czech Republic
Signify,suspend only exports to Russia and investments and new business,Consumer Discretionary,Netherlands
Snap,halt advertisement,Communication Services,United States
Soudal,cancel investments in a brand new factory in Russia; but maintain other activities,Materials,Belgium
SRV,outline steps to stop procurement of building materials from Russia,Materials,Finland
Subway,suspend new investments/advertising,Consumer Staples,United States
Sumitomo Mitsui Financial,continue operations with local staff,Financials,Japan
Technip Energies,continuing existing projects; no new business,Energy,France
TMF Group,suspend new contracts; cotinue supporting current customers,Industrials,Netherlands
TOM Tailor,no official statement; online sales suspended but advertising continues,Consumer Discretionary,Germany
Toshiba Group,stop all new investments in Russia,Information Technology,Japan
Toshulin,Stopped cooperation,Industrials,Czech Republic
Toyota Tsusho,Stopped exports and imports of auto parts to and from Russia,Materials,Japan
TZMO,stopped new investments,Consumer Staples,Poland
Unilever,stopped inports/exports and stopped all advertising and investments,Consumer Staples,United Kingdom
UnionPay,Suspended issuing bank cards to Russian Banks,Financials,China
Vestas,continue operations but no new contracts,Energy,Denmark
Vimeo,not accept new customers from Russia,Communication Services,United States
Weatherford International,suspend new investments/deployments in Russia,Energy,United States
Welltec,suspend all new investments in Russia,Energy,Denmark
Wintershall Dea AG,maintain Russian natural gas projects and critical infrastructure; write-off Nord Stream2 loans,Energy,Germany
Xiaomi,reported to suspend operations in Russia,Information Technology,China
Yokohama,decision to renew production in Russia despite previous announcements to halt production,Consumer Discretionary,Japan
Young Living,suspend new investments in Russia,Consumer Staples,United States
Yves Rocher,suspend new investments/development,Consumer Staples,France
Scaling Back,,,
Reducing Current Operations (168 Companies) (Grade: C),,,
Companies that are scaling back some significant business operations but continuing some others...,,,
Name,Action,Industry,Country
ABB,temporarily pausing all new orders and operational activity,Industrials,Switzerland
Activision Blizzard,suspend new sales of and in our games in Russia,Communication Services,United States
Adobe,suspend all new sales in Russia and Belarus; current services continue,Information Technology,United States
AGCO,stop sale of new machines to Russia,Industrials,United States
AkzoNobel,suspend new investments in Russia; end Aerospace work,Materials,Netherlands
Allianz,meaningfully reduce exposure to Russia,Financials,Germany
Alphabet,withdraw all operations in Moscow; stop taking new customers; stop ads,Communication Services,United States
Amadeus IT Group,suspend partnership with Aeroflot,Information Technology,Spain
Amgen,suspend all non-essential business activities; keep delivering some medicines,Health Care,United States
AmRest,suspend operations with some brands in Russia,Consumer Discretionary,Spain
ASBIS,amends contracts following new sanctions,Information Technology,Cyprus
Aspo,reducing operations in Russia,Industrials,Finland
Avaya,limit certain services; cease new maintenance and support arrangements,Information Technology,United States
Bacardi,paused exports to Russia but not domestic operations,Consumer Staples,Bermuda
Bank of Cyprus,maintain loan book; observe banking sanctions,Financials,Cyprus
Beiersdorf,maintain skin and bodycare products; stop other products,Consumer Staples,Germany
Black Red White,"divesting from Russian subsidiary, still has a significant stake in a company operating in Belarus, which also suspended Russian exports",Consumer Discretionary,Poland
BNY Mellon,suspend new business activity and investments; continue cooperation with current clients,Financials,United States
Boehringer Ingelheim,scale back to just supplying medicine,Health Care,Germany
Bosch,suspend some shipments and plants but not all,Industrials,Germany
Boston Scientific,suspend all new investment and non-essential activity,Health Care,United States
Brenntag,suspend exports to Russia; no information about local operations,Materials,Germany
Bucher Industries,"not specified business activities in Russia were reduced ""substantially""",Industrials,Switzerland
Bunge,suspend exports but continue certain domestic,Consumer Staples,United States
Bureau Veritas,scaled back,Industrials,France
Carl Zeiss,,Health Care,Germany
Carrier,not pursue new business opportunities but continue fulfilling existing contracts,Industrials,United States
Carter's | Oshkosh,stop all shipments of merchandise to Russia,Industrials,United States
Caterpillar,suspend minor Russian manufacturing facilities but not import sales,Industrials,United States
CHR Hansen,suspend operations outside of staple food products,Materials,Denmark
Coca-Cola,suspend certain operations in Russia but continue to operate some chains (Costa Coffee),Consumer Staples,United States
Coinbase,block certain illicit Russian accounts but not all,Financials,United States
Confor Step,Stopped producing or shipping to Russia,Consumer Discretionary,Portugal
Continental,resumed local production after having previously suspended Russian factory,Consumer Discretionary,Germany
Corning,suspend almost all sales in Russia except minor life-saving products,Information Technology,United States
Credit Suisse,stop new business in Russia while meaningfully cutting exposure by 56%,Financials,Switzerland
Danske Bank,ban Russian investments in customers' portfolios,Financials,Denmark
DB Schenker,suspend direct shipments to Russia; continue Europe to Kazakhstan and Russia to Kazakhstan routes,Industrials,Germany
Deere,suspend shipments into Russia only,Industrials,United States
Discord,suspend renewal of paid and premium products and services for Russian clients; free services still available,Communication Services,United States
Donaldson Company,stop direct product shipments into Russia & Belarus; no statement about operations inside Russia nor about partnerships,Industrials,United States
Dover Corporation,ramping down sales activity and focusing on liquidating working capital,Industrials,United States
Dow,suspend investments/some purchases but not all,Materials,United States
Duolingo,make services free and stop gaining revenue,Information Technology,United States
E.ON,stop buying new Russian gas,Utilities,Germany
